sentiment,text
neutral,RT @LMKMovieManiac: 😎 #Dhoni becomes the first Indian to go past 200* sixes in #IPL cricket.. No wonder! 👌👏🌟\n\n#legend #dhoniroaring #MSDhon…
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
neutral,RT @TamilTheHindu: #DHONIvsKOHLI #Dhoni #DhoniRoaring #DhoniFansLogic #WhistlePodu #CSK #kapildev இந்த உலகக்கோப்பையையும் தோனி வென்று கொடுப்…
positive,RT @msdaddicts: I Want Dhoni To Win This World Cup Too - Kapil Dev 👌👌\n\n#MSDhoni #Dhoni #DhoniRoaring #MSD #CSK #CSKvSRH #Yellove #WhistlePo…
neutral,RT @TamilTheHindu: #DHONIvsKOHLI #Dhoni #DhoniRoaring #DhoniFansLogic #WhistlePodu #CSK #kapildev இந்த உலகக்கோப்பையையும் தோனி வென்று கொடுப்…
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
neutral,RT @TamilTheHindu: #DHONIvsKOHLI #Dhoni #DhoniRoaring #DhoniFansLogic #WhistlePodu #CSK #kapildev இந்த உலகக்கோப்பையையும் தோனி வென்று கொடுப்…
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
positive,Who will Win Today's Match #CSKvSRH? #CSK #CSKFrootiDrinksman #CSKvRCB #CSKvsRCB #SRH #SRHvCSK #SRHvKKR #SrhvsCsk… https://t.co/fyrLVfIfPs
positive,RT @msdaddicts: I Want Dhoni To Win This World Cup Too - Kapil Dev 👌👌\n\n#MSDhoni #Dhoni #DhoniRoaring #MSD #CSK #CSKvSRH #Yellove #WhistlePo…
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
negative,#CSKvSRH \n#Yellove \n#WhistlePodu \n#IPL2019 \nGame suru ho suka hai!!!!!!\n#DhoniRoaring \n#MSDhoni \n@msdhoni @ImRaina
neutral,@msdhoni and fans ❤️\n\n#MSDhoni #MSD #msdstrong #DhoniRoaring #Dhoni #Thala #LEGEND #GOAT https://t.co/BIdTaO8jCW
neutral,RT @TamilTheHindu: #DHONIvsKOHLI #Dhoni #DhoniRoaring #DhoniFansLogic #WhistlePodu #CSK #kapildev இந்த உலகக்கோப்பையையும் தோனி வென்று கொடுப்…
neutral,RT @TamilTheHindu: #DHONIvsKOHLI #Dhoni #DhoniRoaring #DhoniFansLogic #WhistlePodu #CSK #kapildev இந்த உலகக்கோப்பையையும் தோனி வென்று கொடுப்…
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
neutral,RT @TamilTheHindu: #DHONIvsKOHLI #Dhoni #DhoniRoaring #DhoniFansLogic #WhistlePodu #CSK #kapildev இந்த உலகக்கோப்பையையும் தோனி வென்று கொடுப்…
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
neutral,RT @TamilTheHindu: #DHONIvsKOHLI #Dhoni #DhoniRoaring #DhoniFansLogic #WhistlePodu #CSK #kapildev இந்த உலகக்கோப்பையையும் தோனி வென்று கொடுப்…
neutral,#DHONIvsKOHLI #Dhoni #DhoniRoaring #DhoniFansLogic #WhistlePodu #CSK #kapildev இந்த உலகக்கோப்பையையும் தோனி வென்று… https://t.co/DuGdwOhAub
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
positive,Today's match prediction\nCSK will win.. 🤞🏻😎👻😁\n#IPL2019 #CSKvSRH #CsK #ChennaiSuperKings #DhoniRoaring #IPL12 #SRHvCSK
positive,"RT @_rchie0425: After #RCBvCSK match i saw many haters of #MSD\n\nShame on you &amp; also those who likes dere post.\n\nSomeone said to me \Jab che…"""
neutral,RT @CricketInGenes: IPL 2019: MATCH 41 – CSK VS SRH Head to Head\n🦁💛🧡\n\n#IPL #IPL2019 #IPLT20 #IPL12 #CSKvSRH 🦁💛 #ChinnaThala #WhistlePodu #Y…
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
neutral,IPL में #DHONI\n\nElection में #MODi \n\nका जीतना तंय है.....\n\n#ModiHiAayega \n\n#DhoniRoaring\n#copypaste
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
positive,RT @msdaddicts: I Want Dhoni To Win This World Cup Too - Kapil Dev 👌👌\n\n#MSDhoni #Dhoni #DhoniRoaring #MSD #CSK #CSKvSRH #Yellove #WhistlePo…
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
positive,I Want Dhoni To Win This World Cup Too - Kapil Dev 👌👌\n\n#MSDhoni #Dhoni #DhoniRoaring #MSD #CSK #CSKvSRH #Yellove… https://t.co/SKhzywywID
neutral,IPL 2019: MATCH 41 – CSK VS SRH Head to Head\n🦁💛🧡\n\n#IPL #IPL2019 #IPLT20 #IPL12 #CSKvSRH 🦁💛 #ChinnaThala… https://t.co/MWgCnjuhjp
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
positive,A win against SRH will most certainly ensure CSK a play-off berth\nSRH have regained momentum winning their last two… https://t.co/uuBWHM5ipm
neutral,RT @im_sharukh_: People Who started Watching Cricket From Last 2 or 3 years will never know that this man have been doing it for 15 years w…
negative,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations and has m…"
negative,"RT @cricbuzz: Manish Pandey grabs his opportunity, scores 83* helping Hyderabad to 175 runs on the board. Can Chennai gun it down? Watch @g…"
positive,RT @cricbuzz: There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai #ShaneWatson #F…
neutral,I had heard a bit about Ajay Jadeja before his appearances on @cricbuzz and I decided I was not a fan of him. But a… https://t.co/SuCgXiuLyQ
positive,RT @cricbuzz: There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai #ShaneWatson #F…
positive,"RT @cricbuzz: Order restored as Chennai return to winning ways courtesy a Shane Watson special. @gauravkapur, @7polly7 and Ajay Jadeja anal…"
positive,"RT @cricbuzz: Order restored as Chennai return to winning ways courtesy a Shane Watson special. @gauravkapur, @7polly7 and Ajay Jadeja anal…"
neutral,Big fan of @cricbuzz and #CricbuzzLive Just a request from a fan..When the interviews are typed can we please have… https://t.co/XnqOQ7hWvG
negative,You had to see the expressions of ajay jadeja sir when shaun sir says that i am feeling lonely without my two balls… https://t.co/7wQlHmHzTU
neutral,"\ I want to thank Fleming and ms Dhoni for keeping the faith in me \""- Shane Watson 😀\n#IPL2019 #CSKvSRH #MSDhoni #shanewatson #CricbuzzLIVE"""
neutral,@bhogleharsha please ask @msdhoni why he keeps that pen in his pocket after signing the match ball.#ipl2019 even yo… https://t.co/mzROysbK0X
positive,@7polly7 is a perfect addition.  #CricbuzzLIVE @gauravkapur @Ajith_tweets
positive,"RT @cricbuzz: Order restored as Chennai return to winning ways courtesy a Shane Watson special. @gauravkapur, @7polly7 and Ajay Jadeja anal…"
positive,RT @shrikantkangud1: Why #Dhoni has special captain\nBelieve 10 match continuelly on #Watson And that's results on 11th match \n#CricbuzzLIVE…
negative,RT @ShauryaSanawar: Rashid: I dont have bad days..\nShane: Wat-Son.? 😂🙏\n#ShaneWatson @ShaneRWatson33 #CSKvSRH #IPL2019 #CricbuzzLIVE
positive,RT @cricbuzz: There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai #ShaneWatson #F…
positive,RT @cricbuzz: There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai #ShaneWatson #F…
positive,"Order restored as Chennai return to winning ways courtesy a Shane Watson special. gauravkapur, 7polly7 and Ajay Jad… https://t.co/v7QabLVgXp"
positive,"Order restored as Chennai return to winning ways courtesy a Shane Watson special. gauravkapur, 7polly7 and Ajay Jad… https://t.co/lODcefAHW7"
positive,"Order restored as Chennai return to winning ways courtesy a Shane Watson special. @gauravkapur, @7polly7 and Ajay J… https://t.co/owRr4Usrks"
positive,Csk is going to win today match #CricbuzzLIVE
negative,Is Raydue  playing selfish cricket this season ? @cricbuzz #CricbuzzLIVE
positive,RT @cricbuzz: There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai #ShaneWatson #F…
positive,"RT @Umangism: #Rahane you beauty!! He is a delight to watch when he bats like this. Very happy for him.\n\nSimple man, simple celebration.😊🎉…"
positive,Good to see both watto and manish returning to form in the same match. #CricbuzzLIVE #haveyoursay
positive,Why #Dhoni has special captain\nBelieve 10 match continuelly on #Watson And that's results on 11th match \n#CricbuzzLIVE #IPL2019 #CSKvSRH #
positive,RT @cricbuzz: There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai #ShaneWatson #F…
negative,Rashid: I dont have bad days..\nShane: Wat-Son.? 😂🙏\n#ShaneWatson @ShaneRWatson33 #CSKvSRH #IPL2019 #CricbuzzLIVE
negative,A poor captianancy fron bhuvi @cricbuzz #CSKvSRH #CricbuzzLIVE @IamNicck
negative,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations and has m…"
negative,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations and has m…"
positive,"What makes @rashidkhan_19 soo unpredictable, effective n mysterious after playing so many #T20 leagues.\nIs it the m… https://t.co/GGisulZaUJ"
neutral,Considering Sandeep has gone for runs today V Shankar or D Hooda can be tried for one over @cricbuzz #CricbuzzLIVE #SRHvsCSK
positive,There were signs of Watson getting back to his own - Ajay Jadeja on PlayMPL presents #CricbuzzLIVE. #Chennai… https://t.co/mOdbwClXzX
positive,There were signs of Watson getting back to his own - Ajay Jadeja on PlayMPL presents #CricbuzzLIVE. #Chennai… https://t.co/Ipparevmzr
positive,There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai… https://t.co/6ZMJ2pSnF9
neutral,will Watson cross 30 balls this ipl #CSK #CSKvSRH #SRH #IPL2019 #CricbuzzLIVE @cricbuzz
negative,Ongoing CSK vs SRH match feels to me like an Action Replay of last year's IPL final..\nSame slow start by Watson and… https://t.co/tr1fjrPwWO
neutral,@ImRaina is playing a @im_manishpandey...\n#CSKvSRH #CricbuzzLIVE
neutral,Raina nd Sandeep over in powerplay... Affair continues #kxip\n#then\n#SRH \n#now\n#mripl \n#CSKvSRH\n#CricbuzzLIVE
neutral,@ImRaina going to repeat the innings played against Kings11 punjab 3 years back. \n#CSKvSRH #CricbuzzLIVE @cricbuzz
neutral,"#staraikelungal #AskStar In case of wicket, its been taken  that the bails should be off the stumps not just the st… https://t.co/wlD7F7byXQ"
negative,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations and has m…"
neutral,So that it is not necessary for the bails to come off for a runout...what a rule sir ji...\n@bhogleharsha \n#CSKvSRH \n#CricbuzzLIVE
negative,Very disappointed with the pitch report by Darren Ganga........it's not helping spinners it's helping seamers… https://t.co/fWqTcSULTH
positive,I guess now CSK fans can und what Kohli feels with his bowlers that MSD feels with his top order. Only difference i… https://t.co/ocphMM8Nba
negative,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations and has m…"
neutral,@cricbuzz #CricbuzzLIVE It is Wasim Jaffer
negative,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations and has m…"
negative,"On PlayMPL presents #CricbuzzLIVE, 7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations a… https://t.co/YPXQTMY6Ub"
negative,"On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations… https://t.co/XumQvV9CH9"
neutral,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off his initi…"
negative,"Manish Pandey grabs his opportunity, scores 83* helping Hyderabad to 175 runs on the board. Can Chennai gun it down… https://t.co/RFKnuNeP2Q"
neutral,"RT @OppoIPL2019: On PlayMPL presents #CricbuzzLIVE, 7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off his init…"
neutral,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off his initi…"
negative,"RT @cricbuzz: Manish Pandey grabs his opportunity, scores 83* helping Hyderabad to 175 runs on the board. Can Chennai gun it down? Watch @g…"
negative,"Manish Pandey grabs his opportunity, scores 83* helping Hyderabad to 175 runs on the board. Can Chennai gun it down… https://t.co/wpc2c8ALI6"
neutral,@deeputalks what is the number of balls @im_manishpandey faced after David Warner wicket? #CricbuzzLIVE
neutral,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off his initi…"
positive,@gauravkapur @bhogleharsha #CricbuzzLIVE @7polly7 @vijayshankar260 doing what he does best. Nothing extraordinary but everything necessary.
neutral,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off his initi…"
neutral,"On PlayMPL presents #CricbuzzLIVE, 7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off h… https://t.co/zZiqKswMs1"
neutral,"On PlayMPL presents #CricbuzzLIVE, 7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off h… https://t.co/acSQMsKZl5"
neutral,"On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off… https://t.co/xQJqoMJSME"
neutral,M pandey deserves a century here #CricbuzzLIVE
positive,Pichle Pura saaal ka runs issi IPL mein baana lega kya re @davidwarner31 #CricbuzzLIVE \n\n100 runs already clear of… https://t.co/d8F5gAf90M
positive,No matter how much u troll guys like Kohli and warner for their attitude. U just can't imagine ur lineup without th… https://t.co/h51IjAGoID
positive,This is the result when potential players were paved in a good path ( bat pos ) good comeback knock by… https://t.co/9XAvElQkwj
neutral,Now time for kedar jadhav...#CSKvSRH  #CricbuzzLIVE
positive,"It seems that Pakistan has No spinner except Yasir Shah , Every time Pak wants spinner @Inzamam08\nAdded him in to t… https://t.co/bsjiHuSwL6"
positive,Cricbuzz is making jokes is it really 000000 9th over of Jadeja 🤣 #cricbuzz #CricketMeriJaan #CricbuzzLIVE #funny https://t.co/34xdX1ytTI
positive,"RT @DilipPurohit90: First Indian batsman to score a ipl hundred @im_manishpandey, looks like he has come to repeat the history. @cricbuzz\n#…"
negative,"@cricbuzz Seriously!!  I think you need new developers ;) \nIf you want one, I'm always there.\n#SRHvsCSK… https://t.co/RbKhXn4Rvi"
neutral,Problem every we're #CricbuzzLIVE https://t.co/Wof6m7ZnA5
positive,First innings itself is not over how u define manish is the stylish player?#starikelungal #IPL #CricbuzzLIVE #cricbuzz
positive,"Manish pandey promoted up the order despite his failures, now he is on a song. That's a good move from @SunRisers ,… https://t.co/LCzkLDzFuP"
negative,where other team  struggling to score at chepuk\nSRH is playing well \nthat's the warner man in form \n#CricbuzzLIVE #CSKvSRH \n@taurausvarun
positive,"why the hell you're not showing ipl score on top, You're an indian creator and you're not showing score of our dome… https://t.co/03Yytzwd4b"
neutral,The big surprise.....\nBravo bowling the 8th over instead of 13th or 14th!!!!\nThat’s what is the pressure of Warner… https://t.co/gycmMpN9iP
positive,"RT @cricbuzz: Today's Joy Factor question is a tough one to crack. Let us know once you have, using #CricbuzzLIVE https://t.co/XXz0eGl8uN"
positive,"how's the pitch playing, is ball spinning or not?  they are scoring runs at 9rpo which we don't see here much… https://t.co/zt9IfvnxSV"
neutral,"RT @BCCI: India’s squad for the ICC #CWC19 announced: Virat Kohli (Capt), Rohit Sharma (vc), Shikhar Dhawan, KL Rahul, Vijay Shankar, MSD (…"
neutral,"@techieV2 For the question : \Kedar hei ye Jadhav?\"""""
neutral,RT @msdfansofficial: Thala MS Dhoni along with Kedar Jadhav and Monu Singh are off to Chepauk 🦁💛 \n#whistlepodu #msdhoni #SRHvCSK https://t.…
positive,@ChennaiIPL Please remove kedar jadhav and join murali vijay \n\nNo need kedar in indian team also \nWhat kind of skills he has for cricket
positive,@BCCI why is Kedar Jadhav better than Ambati Raydu?
neutral,RT @msdfansofficial: Thala MS Dhoni along with Kedar Jadhav and Monu Singh are off to Chepauk 🦁💛 \n#whistlepodu #msdhoni #SRHvCSK https://t.…
positive,RT @ouchh_potato: The more Kedar Jadhav is spending time off d field with #Dhoni the more he is tempted to finish games only in the last ov…
positive,The more Kedar Jadhav is spending time off d field with #Dhoni the more he is tempted to finish games only in the last over. \n\n#CSKvSRH
neutral,https://t.co/8XuoeuZXYv
neutral,"@RayuduAmbati Bhai tum to aaj CSK ko harwane ka pura plan bana liye the, wo to Kedar Jadhav ke 6 be bacha liya \nTum… https://t.co/39IHunci1E"
neutral,@Cricfanloki @coolhandsree @crickashish217 @Eme2ul He might play Kedar Jadhav at 4 Shankar at 5 Dhoni at 6 Pandya at 7
positive,Good to see Kedar Jadhav finish touches .. he was totally out of form &amp; he is biggest X factor for India in Worldcu… https://t.co/thFT4oKPrF
neutral,RT @msdfansofficial: Thala MS Dhoni along with Kedar Jadhav and Monu Singh are off to Chepauk 🦁💛 \n#whistlepodu #msdhoni #SRHvCSK https://t.…
neutral,RT @BCCIstats: WC squad #IPL2019 performance\n\nInn Runs NO\n\n11 401 1 Shikhar Dhawan\n10 399 3 KL Rahul\n10 387 0 Virat Kohli\n  7 314 4 MS Dhon…
neutral,@ChennaiIPL Remove Ambati Raydu and Kedar Jadhav
neutral,WC squad #IPL2019 performance\n\nInn Runs NO\n\n11 401 1 Shikhar Dhawan\n10 399 3 KL Rahul\n10 387 0 Virat Kohli\n  7 314… https://t.co/yG8gG6IR0B
neutral,Chennai won by 6 wkts\nHyderabad - 175/3\n(20.0 Ovs)\nChennai - 176/4\n(19.5 Ovs)\nCRR:  8.87\nBatting R(B) 4s 6s\nDwayne… https://t.co/eWgPzNvZyL
positive,I LOVE YOU KEDAR JADHAV😭❤️\n#CSKvSRH
neutral,Thank you kedar jadhav 😭😭😭 #CSKvSRH #IPL2019 #Yellove #WhistlePodu
positive,CSK Vs SH 41st Match: Live Scores - https://t.co/cQWoqR56vp #cricket #HYD #CHE #HYDvCHE #CHEvHYD\nHYD 175/3 (20 ov)… https://t.co/2m0QkMlY8H
positive,CSK Vs SH 41st Match: Live Scores - https://t.co/sc9taPUmg0 #cricket #HYD #CHE #HYDvCHE #CHEvHYD\nHYD 175/3 (20 ov)… https://t.co/GwisShqtwq
neutral,"19.2 Sandeep Sharma to Kedar Jadhav, SIX,"
negative,"#IPL2019 #CSKvSRH \n\nSIX! Kedar Jadhav JUST ABOUT clears the midwicket fence, despite a desperate fielding effort by… https://t.co/ymtUXyEkvD"
neutral,"Kedar jadhav just showed Rayudu,  why he is in WC squad over him.. \n\n#CSKvsSRH  #SRHvsCSK"
neutral,Match 41: Kedar Jadhav hits Sandeep Sharma for a 6!  174/3 (19.2 Ov) #CSKvSRH https://t.co/W7WRcuu9gg https://t.co/sL2kBAYEwI
negative,"No hundred for Watson, and have @SunRisers found a way back into the game? Off the toe end, Bairstow takes it well… https://t.co/ba1qKPwkN8"
neutral,Kedar jadhav 🔥😎
negative,What’s wrong with Kedar Fucking Jadhav ? #CSKvSRH #IPL2019
neutral,Chennai need 9 runs in 6 balls\nHyderabad - 175/3\n(20.0 Ovs)\nChennai - 167/3\n(19.0 Ovs)\nCRR:  8.79\nRR :  9.00\nBattin… https://t.co/KPpTVIXtPN
neutral,Did Chennai Superkings mistake by sending Kedar Jadhav at this crucial time!!! I think Dhoni should have come.\n#CSKvSRH
neutral,Kedar Jadhav finish kar pyega?
negative,Kedar as only batsman is horrible.\nEven jadeja is better than him! \n#kedar #jadhav #CSKvSRH
positive,I am sure If India not win the world cub only the reason is kedar jadhav#CSKvSRH
neutral,Ye yar Kedar jadhav aur raydu kii bagao ..#CSKvSRH
negative,RT @AnkitBarlota: What the f**k is wrong with Kedar Jadhav &amp; Rayudu?
neutral,And Kedar Jadhav is our no.5 in world cup. 😥 #CSKvSRH
neutral,Kedar Jadhav upma kindinar! 😂 #Starsportstamil @RJ_Balaji
negative,Kedar Jadhav and Shankar are in the Indian team for wc. Rishabh Pant is not. Okay.
positive,#IPL2019 #CSKvSRH Chennai Super Kings 167/3 (19 overs) need 9 from 6 balls vs Sunrisers Hyderabad (175/3). Ambati R… https://t.co/bNGH7kVVWj
negative,Such a useless fellow Kedar Jadhav has been for CSK this season
negative,What the f**k is wrong with Kedar Jadhav &amp; Rayudu?
positive,"@ChennaiIPL sack kedar jadhav, he is too slow and doesnt fit in..."
positive,"Match 41: After 19.0 Ov, Chennai Super Kings 167/3. Ambati Rayudu 20 (23b), Kedar Jadhav 3 (7b) #CSKvSRH https://t.co/W7WRcuu9gg"
neutral,Wht kedar jadhav is doing?
neutral,Chennai need 13 runs in 12\nballs\nHyderabad - 175/3\n(20.0 Ovs)\nChennai - 163/3\n(18.0 Ovs)\nCRR:  9.06\nRR :  6.50\nBatt… https://t.co/MjTWrVpaS3
positive,"Match 41: After 18.0 Ov, Chennai Super Kings 163/3. Ambati Rayudu 18 (21b), Kedar Jadhav 2 (3b) #CSKvSRH https://t.co/W7WRcuu9gg"
positive,Kedar Jadhav is the new man in
positive,"RT @Predicto_Praky: Watson finding some form, Raina looking in his best touch for the first time this season... Only Kedar Jadhav left now!"
neutral,#CSKvSRH eppudanna kedar jadhav gaadi cheta kottinchandraa... eppudooo aa vedhava watsone naa?! @SunRisers #sunrisers 🤦🏽‍♂️
neutral,"RT @BCCI: India’s squad for the ICC #CWC19 announced: Virat Kohli (Capt), Rohit Sharma (vc), Shikhar Dhawan, KL Rahul, Vijay Shankar, MSD (…"
positive,"Watson finding some form, Raina looking in his best touch for the first time this season... Only Kedar Jadhav left now!"
positive,#staraikelungal Why don't CSK try TN cricketer Jagadheesan insted of Kedar jadhav.... Is that will be the good move solunga VB bro..!!!
neutral,"CSK XI\n\nS Watson\ndu Plessis\nS Raina\nA Rayudu\nKedar Jadhav\nMS Dhoni\nDJ Bravo\nImran Tahir\nRavindar Jadeja\nD Chahar\nH Singh\n^\n#NaSiR^SwaTi\..."""
negative,Csk middle is trouble in this season are you try jagadeesan replace kedar jadhav#staraikelungal
neutral,CSK XI\nS Watson\ndu Plessis\nS Raina\nA Rayudu\nKedar Jadhav\nMS Dhoni\nDJ Bravo\nImran Tahir\nRavindar Jadeja\nD Chahar\nH Singh\n^\nRajab shah
positive,RT @FarziCricketer: Kedar Jadhav's struggle is inspiring. https://t.co/AgAaOXmT7v
neutral,RT @msdfansofficial: Thala MS Dhoni along with Kedar Jadhav and Monu Singh are off to Chepauk 🦁💛 \n#whistlepodu #msdhoni #SRHvCSK https://t.…
neutral,"#CSK XI: Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravi… https://t.co/AZDVpjvRRq"
positive,Why Kedar Jadhav has not been bowling for CSK?!!...\nCan't the golden arm of Team India be the golden arm of CSK?\n@ChennaiIPL #IPL2019
neutral,#Staraikelungal why kedar jadhav still not be tested in bowling in middle overs !  Seems SRH manage to strike and rotate all the balls
neutral,Kedar jadhav team le  enna role pandrar sollunga bro#starikelungal
neutral,@FarziCricketer Kedar Jadhav Night! #IPL
positive,Kedar Jadhav ku replacement Murali Vijay chance kuduthu Faf du plessis No 4 Play panna CSK middle order better eruk… https://t.co/8CSgwmozZt
neutral,What is kedar jadhav's role in csk ??? #staraikelungal
neutral,#starsportstamil muthu bro why don't dhoni try kedar jadhav to break this partnership
neutral,"Once again, why not Kedar \The Partnership Breaker\"" Jadhav....???? \n@cricbuzz @prat1204 @taurausvarun #CSKvSRH @\n#IPL2019"""
neutral,#star ni adugu kedar jadhav ki enduku bowling ivvatledhu..
neutral,Now time for kedar jadhav...#CSKvSRH  #CricbuzzLIVE
neutral,Today kedar jadhav will bowling then wicket take srh
positive,"Why kedar jadhav bowl yet so far ,is this a situation to bring him to bowl?#staraikelungal"
positive,#staraikelungal Why isn't csk using Kedar jadhav as a partnership breaker he does that job excellently for India. H… https://t.co/nRvNaRPDOG
positive,#staraikelungalWhy isn't csk using Kedar jadhav as a partnership breaker he does that job excellently for India. He… https://t.co/WrZIPMP47W
positive,Why isn't csk using Kedar jadhav as a partnership breaker he does that job excellently for India. He really has a g… https://t.co/cKOlx0pF3b
neutral,RT @msdfansofficial: Thala MS Dhoni along with Kedar Jadhav and Monu Singh are off to Chepauk 🦁💛 \n#whistlepodu #msdhoni #SRHvCSK https://t.…
neutral,Today Kedar Jadhav will bowl? #staraikelungal
positive,"@StarSportsIndia #SelectDugout With the current run rate being so high and both the batsmen being set, should MSD g… https://t.co/FZH9vndGU4"
positive,#starniadugu\nWhy can't dhoni use kedar jadhav as a bowler to break this partnership?? He is a good bowler as well as batsman.......
neutral,RT @msdfansofficial: Thala MS Dhoni along with Kedar Jadhav and Monu Singh are off to Chepauk 🦁💛 \n#whistlepodu #msdhoni #SRHvCSK https://t.…
neutral,I still don't know the reason that why kedar jadhav is in the playing squad of Csk #haveyoursay @taurausvarun
neutral,RT @msdfansofficial: Thala MS Dhoni along with Kedar Jadhav and Monu Singh are off to Chepauk 🦁💛 \n#whistlepodu #msdhoni #SRHvCSK https://t.…
neutral,"RT @StarScoreInfo: #CSK XI: Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra…"
positive,CSK XI\n-\nS Watson\ndu Plessis\nS Raina\nA Rayudu\nKedar Jadhav\nMS Dhoni\nDJ Bravo\nImran Tahir\nRavindar Jadeja\nD Chahar\nH Singh\n\nF LIVE_GEOTEZZ
neutral,"RT @CircleofSports1: #CSK Playing XI: Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo,…"
neutral,RT @mahishiwankar07: Thala MS Dhoni along with Kedar Jadhav and Monu Singh are off to Chepauk 🦁💛 https://t.co/dSJs9k34Jn
neutral,RT @msdfansofficial: Thala MS Dhoni along with Kedar Jadhav and Monu Singh are off to Chepauk 🦁💛 \n#whistlepodu #msdhoni #SRHvCSK https://t.…
neutral,"#CSK XI: Shane Watson, Faf du Plessis, Suresh Raina, Ambati Rayudu, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravi… https://t.co/TmBrWof7cW"
